Work.order Schema,,,
Field,Type,Attributes,Description
company,many2one,required,Company
cost,decimal,readonly,"Cost
Labor/Service cost accrued for this work order"
create_date,timestamp,readonly,Created At (Timestamp)
create_uid,many2one,readonly,Create User
currency,many2one,readonly,Currency
cycles,one2many,,Cycles
id,integer,readonly,ID
invoice_lines,one2many,,Invoice Lines
messages,json,readonly,Messages
metadata,json,,Metadata
metafields,json,,Metafields
number,char,readonly,Number
operation,many2one,required,Operation
operator,many2one,,Operator
outsourced_workflow,selection,,"Outsourced Workflow
Allowed values"
planned_date,date,,Planned Date
priority,selection,required,"Priority
Allowed values"
private_notes,one2many,readonly,Private Notes
production,many2one,required,Production
public_notes,one2many,readonly,Public Notes
purchase_lines,one2many,,Purchase Lines
purchase_orders,char,readonly,Purchase Orders
quantity_done,float,readonly,Quantity Done
rec_blurb,json,readonly,Blurb
rec_name,char,readonly,Record Name (Title)
routing_step,many2one,,Routing Step
sequence,integer,,Sequence
state,selection,readonly,"State
Allowed values"
supplier,many2one,,"Supplier
The supplier to outsource the work order to"
supplier_currency,many2one,,Currency
supplier_quantity,float,,Quantity
supplier_service,many2one,,"Service
The service to buy from the supplier for the work order"
supplier_service_supplier,many2one,readonly,Supplier's Service
supplier_unit_price,decimal,,Unit Price
type,selection,,"Type
Allowed values"
warehouse,many2one,readonly,Warehouse
work_center,many2one,,Work Center
work_center_category,many2one,readonly,Work Center Category
write_date,timestamp,readonly,Updated At (Timestamp)
write_uid,many2one,readonly,Write User